title,price,location,surface,rooms,baths,link,city,surface_m2,price_per_m2,segment
appartement avec grande terrasse parking titré,1500000.0,"Appartements dans Marrakech, Guéliz",90 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/appartement_avec_grande_terrasse_parking_titr%C3%A9_57825918.htm,Marrakech,90.0,16666.67,Moyen
A vendre Appartement 65 m² à Ouislane Meknes,280000.0,"Appartements dans Ouislane, Toute la ville",73 m²,2 chambres,1 sdb,https://www.avito.ma/fr/ouislane/appartements/A_vendre_Appartement_65_m%C2%B2_%C3%A0_Ouislane_Meknes_57807048.htm,Ouislane,73.0,3835.62,Economique
Appartement à vendre 115 m² à Temara,1690000.0,"Appartements dans Temara, Oued Eddahab",115 m²,3 chambres,1 sdb,https://www.avito.ma/fr/oued_eddahab/appartements/Appartement_%C3%A0_vendre_115_m%C2%B2_%C3%A0_Temara_57774592.htm,Temara,115.0,14695.65,Moyen
Dernières opportunités au Riad Garden I à l'Agdal,2410000.0,"Appartements dans Marrakech, Av Mohammed VI",,2 chambres,0 sdb,https://www.avito.ma/fr/av_mohammed_vi/appartements/Derni%C3%A8res_opportunit%C3%A9s_au_Riad_Garden_I_%C3%A0_l_Agdal_57803026.htm,Marrakech,73.0,33013.7,Luxe
Appartement 126m² 4ème étg. terrasse à Maârif,1450000.0,"Appartements dans Casablanca, Val Fleuri",126 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_126m%C2%B2_4%C3%A8me_%C3%A9tg__terrasse_%C3%A0_Ma%C3%A2rif_56872194.htm,Casablanca,126.0,11507.94,Moyen
Appartement à vendre 100 m² à Marrakech,1200000.0,"Appartements dans Marrakech, Semlalia",appartement à vendre 100 m² à marrakech,3 chambres,2 sdbs,https://www.avito.ma/fr/semlalia/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Marrakech_57604838.htm,Marrakech,100.0,12000.0,Moyen
Appartement à vendre 48m² à Gueliz - Piscine Rooftop,1077000.0,"Appartements dans Marrakech, Guéliz",49 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_48m%C2%B2_%C3%A0_Gueliz___Piscine_Rooftop_57658624.htm,Marrakech,49.0,21979.59,Moyen
Meilleur invest Studio Neuf 62M Tram Busway Ghandi,880000.0,"Appartements dans Casablanca, Casablanca Finance City",62 m²,1 chambre,1 sdb,https://www.avito.ma/fr/casablanca_finance_city/appartements/Meilleur_invest_Studio_Neuf_62M_Tram_Busway_Ghandi_57189382.htm,Casablanca,62.0,14193.55,Moyen
Appartement à vendre 96 m² à Salé,590000.0,"Appartements dans Salé, Bab Sebta",96 m²,2 chambres,1 sdb,https://www.avito.ma/fr/bab_sebta/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Sal%C3%A9_57871004.htm,Salé,96.0,6145.83,Economique
Appartement à Assilah,450000.0,"Appartements dans Asilah, Toute la ville",,2 chambres,2 sdbs,https://www.avito.ma/fr/asilah/appartements/Appartement_%C3%A0_Assilah_51739569.htm,Asilah,90.0,5000.0,Economique
Appartement en vent 51m² à Gueliz-Piscine Rooftop,1267000.0,"Appartements dans Marrakech, Guéliz",51 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_en_vent_51m%C2%B2_%C3%A0_Gueliz_Piscine_Rooftop_57658657.htm,Marrakech,51.0,24843.14,Moyen
Appartement neuf avec ascenseur et parking,440000.0,"Appartements dans Casablanca, Sidi Othmane",81 m²,2 chambres,1 sdb,https://www.avito.ma/fr/sidi_othmane/appartements/Appartement_neuf_avec_ascenseur_et_parking_55310114.htm,Casablanca,81.0,5432.1,Economique
